Москва,Проф.область,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015
"Кол-во вакансий, средняя за день, шт.","Информационные технологии, интернет, телеком","9,869","11,440","11,089","10,899","10,057","10,290","10,531","10,851","11,065","11,038","10,616","9,436","8,305","9,078","8,584","8,949","8,801","9,142","10,060","10,512","11,121","11,611","11,047"
"Кол-во вакансий, средняя за день, шт.","Бухгалтерия, управленческий учет, финансы предприятия","5,142","6,114","5,944","6,102","5,767","6,112","6,121","6,906","6,931","6,596","6,227","5,506","4,622","4,862","4,648","4,865","4,771","4,961","5,187","5,297","5,319","4,909","4,756"
"Кол-во вакансий, средняя за день, шт.","Маркетинг, реклама, PR","5,431","6,653","6,514","6,341","5,828","6,145","6,617","7,512","8,045","7,377","6,881","5,929","5,395","5,963","5,739","6,009","5,975","6,081","6,676","7,091","7,173","7,315","6,824"
"Кол-во вакансий, средняя за день, шт.",Административный персонал,"6,193","7,088","6,831","6,685","6,543","7,034","7,129","7,425","7,336","6,613","5,780","4,861","4,180","4,283","4,033","4,283","4,397","4,841","5,252","5,476","5,716","5,664","5,078"
"Кол-во вакансий, средняя за день, шт.","Банки, инвестиции, лизинг","5,338","6,243","6,196","6,080","5,913","6,269","6,505","6,815","6,720","6,308","5,906","5,357","4,361","4,490","4,276","4,536","4,652","5,452","6,195","6,495","6,962","6,406","4,897"
"Кол-во вакансий, средняя за день, шт.","Управление персоналом, тренинги","2,211","2,586","2,472","2,350","2,248","2,514","2,691","2,694","2,565","2,323","2,058","1,682","1,462","1,540","1,519","1,537","1,589","1,736","1,928","1,926","1,887","1,817","1,710"
"Кол-во вакансий, средняя за день, шт.",Автомобильный бизнес,"1,623","1,762","1,757","1,849","1,826","2,014","1,999","1,937","1,905","1,824","1,632","1,228",933,944,"1,015","1,045","1,072","1,154","1,330","1,318","1,331","1,352","1,331"
"Кол-во вакансий, средняя за день, шт.",Безопасность,753,834,853,916,963,982,"1,050","1,144","1,219",980,930,894,847,829,733,714,727,776,825,846,880,925,921
"Кол-во вакансий, средняя за день, шт.",Высший менеджмент,"1,180","1,463","1,469","1,502","1,408","1,466","1,537","1,630","1,632","1,496","1,361","1,134","1,004","1,090","1,107","1,221","1,246","1,301","1,383","1,368","1,385","1,283","1,202"
"Кол-во вакансий, средняя за день, шт.",Добыча сырья,317,363,366,393,377,362,368,380,379,355,321,265,244,232,229,207,192,217,263,270,283,290,226
"Кол-во вакансий, средняя за день, шт.","Искусство, развлечения, масс-медиа","1,188","1,440","1,338","1,370","1,231","1,365","1,392","1,497","1,474","1,401","1,256","1,088",968,"1,031",960,"1,089","1,074","1,106","1,228","1,345","1,411","1,399","1,350"
"Кол-во вакансий, средняя за день, шт.",Консультирование,"1,530","1,730","1,604","1,703","1,674","1,735","1,844","1,968","2,059","2,068","1,867","1,616","1,453","1,640","1,656","1,759","1,706","1,656","1,729","1,890","1,938","1,933","1,923"
"Кол-во вакансий, средняя за день, шт.","Медицина, фармацевтика","2,520","2,993","3,016","3,061","2,879","2,995","2,966","3,061","3,106","3,057","2,805","2,608","2,429","2,710","2,694","2,853","2,752","2,840","2,952","3,005","3,177","3,290","3,140"
"Кол-во вакансий, средняя за день, шт.","Наука, образование",685,796,741,808,720,763,800,905,937,846,724,658,585,681,652,624,635,704,722,841,894,810,893
"Кол-во вакансий, средняя за день, шт.","Начало карьеры, студенты","6,872","7,583","7,749","8,277","8,936","9,932","10,407","11,032","11,452","10,813","10,283","9,420","8,305","7,777","7,756","8,259","8,465","8,551","8,997","9,572","10,434","10,116","9,160"
"Кол-во вакансий, средняя за день, шт.","Государственная служба, некоммерческие организации",170,234,245,263,225,231,273,270,287,280,252,211,179,188,163,173,177,182,172,165,162,161,163
"Кол-во вакансий, средняя за день, шт.",Продажи,"19,353","21,909","21,934","22,492","21,956","23,948","25,548","27,495","29,077","28,357","27,387","25,494","21,068","21,220","20,566","22,165","22,134","23,374","25,638","27,416","29,193","29,041","26,467"
"Кол-во вакансий, средняя за день, шт.",Производство,"3,384","4,007","3,992","4,032","3,723","3,939","4,067","4,243","4,305","4,250","3,930","3,496","3,059","3,350","3,297","3,501","3,400","3,525","3,800","3,823","3,790","3,881","3,790"
"Кол-во вакансий, средняя за день, шт.",Страхование,"1,201","1,258","1,214","1,226","1,209","1,299","1,371","1,370","1,297","1,238","1,101",970,840,829,791,823,811,871,979,"1,049",993,954,883
"Кол-во вакансий, средняя за день, шт.","Строительство, недвижимость","5,631","6,608","6,596","6,939","6,528","6,926","7,590","7,670","7,582","7,454","6,872","5,923","5,373","5,970","5,949","6,255","6,080","6,165","6,300","6,380","6,614","6,756","6,529"
"Кол-во вакансий, средняя за день, шт.","Транспорт, логистика","3,507","3,772","3,647","3,657","3,521","3,952","4,027","4,147","4,070","3,806","3,407","2,865","2,497","2,431","2,305","2,368","2,524","2,930","3,191","3,287","3,419","3,378","3,128"
"Кол-во вакансий, средняя за день, шт.","Туризм, гостиницы, рестораны","2,820","3,076","3,252","3,413","3,379","3,629","3,589","3,678","3,786","3,604","3,416","3,083","2,823","2,876","3,003","3,507","3,631","3,852","3,984","4,168","4,320","3,912","3,648"
"Кол-во вакансий, средняя за день, шт.",Юристы,"1,634","1,951","1,976","2,128","2,033","2,156","2,226","2,097","2,001","1,941","1,730","1,512","1,356","1,538","1,418","1,528","1,439","1,570","1,689","1,655","1,641","1,627","1,563"
"Кол-во вакансий, средняя за день, шт.","Спортивные клубы, фитнес, салоны красоты",812,958,"1,004","1,047",919,981,937,980,980,889,780,708,684,775,779,829,834,936,950,"1,036","1,095","1,087","1,041"
"Кол-во вакансий, средняя за день, шт.",Инсталляция и сервис,702,872,820,794,761,802,828,840,808,792,740,666,567,561,552,553,581,569,536,567,625,657,628
